user_id,name,posts,followers,following,PVT,date_joined,former_usernames,verified
ronaldo.prime,Cristiano 🐐🙌,"1,844",124K,403,False,November 2020,3,0
cristiano,Cristiano Ronaldo,"3,831",649M,594,False,May 2012,,1
ronaldo_cr7_fan_____,cr 7,131,54.6K,7,False,August 2022,4,0
ronaldo,Ronaldo,"1,497",29.5M,"2,913",False,June 2011,,1
cr_7.ronalddo,Ronaldo cr.7,5,114,11,False,November 2021,3,0
artagael,Abagael West,20,111,291,False,August 2017,,0
abhagael,Abagael,26,62,329,False,March 2024,2,0
abagael._,Abagael💋,12,"1,304",620,True,April 2019,4,0
abagael.taylor,Abagael💐,43,"1,820","1,558",False,January 2019,1,0
abagael._.barmore,ABAGAEL🤪🤪🤪,33,490,"1,774",True,January 2017,1,0
abigaillewisphoto,Abigail L Boeger,766,14.5K,"6,099",False,September 2012,3,1
abigail_lutz3,Abigail Lutz,127,38.8K,1,False,May 2024,2,1
abigailvaldiviafernandez,Abigail Valdivia Fernandez,"42,518",493K,318,False,March 2017,3,0
abigailspencer,Abigail Spencer,"1,463",828K,"1,922",False,July 2011,,1
abigailratchford,⚡️ A R ⚡️,159,9M,500,False,August 2012,,1
abbeyyung,Abbey Yung,681,639K,955,False,March 2012,,1
abbeer.ald,Abbeer Lal Debb,5,176,170,True,April 2017,2,0
themodernsinghs,The Modern Singhs | Money & Abbey Singh,788,416K,389,False,February 2019,,1
abbeysarahsingh,Abbey Singh,509,194K,761,False,September 2014,,0
abbiecornish,Abbie Cornish,269,353K,0,False,March 2012,,1
abbeyedge82,Abbey Edge India Pvt Ltd,192,86,29,False,April 2023,1,0
themodernsinghs,The Modern Singhs | Money & Abbey Singh,788,416K,389,False,February 2019,,1
abbeypuppey,Abigail (Abbey) Tan,373,70.1K,874,False,August 2013,8,1
abbeysarahsingh,Abbey Singh,509,194K,761,False,September 2014,,0
abbeys_playset_rental,Abbeys Play Set Rental,"1,623",17K,"2,258",False,July 2018,2,0
abbi_valmiki_010,abbi_valmiki_010,3,160,464,False,February 2023,,0
abbyrao,Abby,118,2.2M,656,False,August 2011,,1
abbysupawstar,Abby ✶ | Life with Golden Retriever,585,11K,554,False,October 2018,,0
abbyboomofficial,Abby Boom,203,699K,499,False,July 2012,4,0
abbii.krish,Abbii Krish,826,851K,605,False,March 2016,3,1
abbie_rana027,Abhishek Singh Rana,180,"1,092",595,False,August 2015,,0
abbie.ensign,Abbie Ensign,"1,425",229K,"1,821",False,May 2013,1,1
abbiecornish,Abbie Cornish,269,353K,0,False,March 2012,,1
abbielgregory,Abbie,100,533,890,True,August 2012,2,0
abbieherbert_,Abbie Herbert,"1,944",2.3M,"1,016",False,February 2012,,1
abbyrao,Abby,118,2.2M,656,False,August 2011,,1
abby_bhati,AßßY,40,43.6K,240,False,May 2018,,0
mirchi_abby,RJ Abhishek Kumar,219,15.2K,329,False,April 2024,,0
abby,Abby Pollock,916,763K,724,False,October 2012,,1
abbyboomofficial,Abby Boom,203,699K,499,False,July 2012,4,0
abigael_kawel,Abigael_ kawel,0,"5,117",324,False,May 2023,1,0
abileeboivin,Abigael Boivin,79,154K,826,False,January 2019,,1
abigae.l,✩ 𝙰𝚋𝚒𝚐𝚊𝚎𝚕 ✩,36,"1,998",651,True,November 2014,,0
abigael_gauthier,Abigael gauthier,10,"2,337",864,False,August 2016,3,0
abigael_zoe,Jack^^,5,770,413,False,March 2021,6,0
abigaillewisphoto,Abigail L Boeger,766,14.5K,"6,099",False,September 2012,3,1
abigail_pande,Abby :)),"3,265",497K,"1,987",False,February 2013,,1
abigail_lutz3,Abigail Lutz,127,38.8K,1,False,May 2024,2,1
abigailvaldiviafernandez,Abigail Valdivia Fernandez,"42,518",493K,318,False,March 2017,3,0
abigailspencer,Abigail Spencer,"1,463",828K,"1,922",False,July 2011,,1
abigaillewisphoto,Abigail L Boeger,766,14.5K,"6,099",False,September 2012,3,1
abigail_pande,Abby :)),"3,265",497K,"1,987",False,February 2013,,1
abigail_lutz3,Abigail Lutz,127,38.8K,1,False,May 2024,2,1
abigailvaldiviafernandez,Abigail Valdivia Fernandez,"42,518",493K,318,False,March 2017,3,0
abigailspencer,Abigail Spencer,"1,463",828K,"1,922",False,July 2011,,1
_abradeep_,Abradeep Saha,3,354,143,False,November 2022,,0
abraz__2.0,Abraz,10,"2,186",84,False,August 2021,3,0
abrarqazi47,Abrar Qazi,459,561K,195,False,May 2013,,1
abraz.khan_91,Abraz I khan,"1,021",11.1M,130,False,November 2016,,1
abrar.b.3,Abrar,5,175,161,True,August 2022,,0
acacia,ACACIA,"6,389",388K,958,False,October 2011,,1
__acacia_sparks__,Shreya,726,46.3K,328,False,April 2017,4,0
acaciakersey,Cacia 𓆏,288,1.8M,289,False,March 2012,,1
acaciaforgot,Acacia Forgot,576,31.7K,"3,333",False,July 2017,,1
acacia_ferns,Acacia Fernandes🧿🌸,146,273,315,True,September 2016,3,0
adarshkumarsingh9798,Adarsh kumar singh,1,74,171,True,January 2022,2,0
adaderana_english,Ada Derana,"48,170",59.7K,13,False,August 2018,3,1
gautam.adani,Gautam Adani,54,914K,5,False,September 2018,,1
rajivadatia,Rajiv Adatia,"3,185",1.5M,"1,463",False,December 2012,,1
adarsh_ady_,Adarsh,16,135,128,True,December 2014,,0
adha_ki_gallery,Adah's Gallery✨❤️,32,562,14,False,March 2024,,0
adah_ki_radha,Radha Sharma,582,268K,2,False,March 2019,1,1
adah_ki_adah_12,adah____hi adah fan page,523,115,9,False,November 2023,2,0
adahpathankot,Adah by Ritu sharma,236,956,28,False,March 2023,,0
adah_ki_adah,Adah Sharma,"2,853",9.7M,769,False,May 2015,,1
adaline__rob,Adaline,42,"1,311","1,388",False,July 2021,,0
ageofadaline,Age Of Adaline,252,25.2K,"5,381",False,September 2014,,1
